loss,accuracy,val_loss,val_accuracy,lr,epoch
1.1252681016921997,0.4725666642189026,1.0285228490829468,0.43478259444236755,1e-04,1
1.033526062965393,0.520298957824707,1.1588650941848755,0.43885868787765503,1e-04,2
0.9933481812477112,0.5417020320892334,1.6184790134429932,0.40625,1e-04,3
0.9646826982498169,0.5597078204154968,1.0934849977493286,0.51222825050354,1e-04,4
0.9654415845870972,0.5568200945854187,1.0384931564331055,0.54347825050354,1e-04,5
0.9413933157920837,0.5789026618003845,1.0915746688842773,0.529891312122345,1e-04,6
0.9398979544639587,0.5658230185508728,0.9151142239570618,0.59375,2e-05,7
0.9319102764129639,0.571938157081604,0.8667956590652466,0.6195651888847351,2e-05,8
0.9202963709831238,0.5782232284545898,0.8429592847824097,0.61548912525177,2e-05,9
0.9226068258285522,0.5809410810470581,0.9371533393859863,0.52173912525177,2e-05,10
0.9166943430900574,0.5763546824455261,0.8820211291313171,0.60597825050354,2e-05,11
0.9110310673713684,0.5802615880966187,0.8298893570899963,0.6222826242446899,2e-05,12
0.9040989875793457,0.5872260928153992,1.0475925207138062,0.5679348111152649,2e-05,13
0.9038861989974976,0.5947001576423645,0.86382657289505,0.616847813129425,2e-05,14
0.9140799045562744,0.5853575468063354,0.8922731280326843,0.5788043737411499,2e-05,15
0.8874809145927429,0.5987769365310669,0.9178012609481812,0.5910326242446899,2e-05,16
0.9006562829017639,0.588924765586853,1.0062214136123657,0.554347813129425,2e-05,17
0.9043335914611816,0.5913028717041016,0.8202860355377197,0.625,4e-06,18
0.8900079727172852,0.6113470196723938,0.8192813992500305,0.635869562625885,4e-06,19
0.8851736783981323,0.5986071228981018,0.823174774646759,0.63722825050354,4e-06,20
0.8877412676811218,0.604722261428833,0.8239826560020447,0.645380437374115,4e-06,21
0.8784401416778564,0.6013249754905701,0.8186001777648926,0.6521739363670349,4e-06,22
0.897556722164154,0.5928316712379456,0.8206288814544678,0.6508151888847351,4e-06,23
0.8899650573730469,0.5952097773551941,0.825745701789856,0.64402174949646,4e-06,24
0.8782707452774048,0.5996263027191162,0.8184924125671387,0.645380437374115,4e-06,25
0.8872911334037781,0.6052318811416626,0.8245919346809387,0.64402174949646,4e-06,26
0.8861584663391113,0.6065908074378967,0.8158169388771057,0.6589673757553101,4e-06,27
0.8862465023994446,0.5996263027191162,0.8110058903694153,0.6385869383811951,4e-06,28
0.8894728422164917,0.6001359224319458,0.8202245831489563,0.657608687877655,4e-06,29
0.8726294040679932,0.6189910173416138,0.8218562006950378,0.64402174949646,4e-06,30
0.8904328942298889,0.5963988304138184,0.8205133676528931,0.654891312122345,4e-06,31
0.8754942417144775,0.6047893762588501,0.8146510124206543,0.65625,4e-06,32
0.8810031414031982,0.6099880933761597,0.818587601184845,0.6494565010070801,4e-06,33
0.8768539428710938,0.6004756093025208,0.8158321976661682,0.645380437374115,8e-07,34
0.8748347163200378,0.603193461894989,0.8174368739128113,0.6494565010070801,8e-07,35
0.8821858167648315,0.5924919247627258,0.8161938786506653,0.645380437374115,8e-07,36
0.8761757016181946,0.6082894802093506,0.8151334524154663,0.6508151888847351,8e-07,37
0.8859378695487976,0.6099880933761597,0.8179426789283752,0.648097813129425,8e-07,38
